instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0196.npz,74,36902,36898,38985,1,312.5708,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]"
instance_0197.npz,44,19560,19540,20428,1,96.0127,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43]"
instance_0198.npz,11,5443,5434,5945,1,6.1004,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10]"
instance_0199.npz,29,11172,11164,12005,1,37.1599,"[0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
instance_0200.npz,75,968,968,1239,1,3.2008,"[23, 27, 60]"
instance_0201.npz,53,955,947,1194,1,2.2791,"[2, 3, 9, 13, 27]"
instance_0202.npz,98,1446,1445,1865,1,8.8903,"[10, 37, 43, 72]"
instance_0203.npz,78,1518,1518,1958,1,7.7477,"[5, 8, 18, 26, 51]"
instance_0204.npz,25,999,998,1234,1,1.235,"[9, 15, 23]"
instance_0205.npz,19,810,733,902,1,0.5512,[0]
